czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
205.000000	96.740000	45.460000	26.980000	22.670000	22.540000
206.000000	96.310000	46.640000	28.510000	23.250000	22.850000
207.000000	96.360000	45.910000	26.890000	22.480000	22.520000
208.000000	96.770000	46.610000	27.130000	22.050000	23.790000
209.000000	98.240000	45.310000	28.750000	22.190000	22.380000
210.000000	98.030000	45.560000	27.620000	21.730000	22.530000
211.000000	98.550000	45.860000	27.330000	22.450000	24.210000
212.000000	97.790000	46.260000	29.050000	22.820000	22.830000
213.000000	98.760000	46.090000	28.570000	22.830000	22.800000
214.000000	99.200000	46.550000	29.070000	22.860000	23.370000
215.000000	98.400000	48.200000	29.200000	22.710000	23.840000
216.000000	99.410000	46.570000	27.740000	22.540000	24.240000
217.000000	98.740000	47.500000	29.020000	22.570000	23.570000
218.000000	99.250000	47.220000	28.700000	22.010000	22.720000
219.000000	100.810000	47.310000	29.220000	22.140000	23.480000
220.000000	100.060000	48.180000	28.260000	22.090000	22.490000
221.000000	100.880000	48.720000	29.770000	21.710000	22.670000
222.000000	101.320000	49.520000	29.270000	21.800000	23.000000
223.000000	100.500000	49.120000	28.520000	22.990000	23.980000
224.000000	101.820000	48.490000	28.320000	21.690000	22.960000
225.000000	102.240000	48.140000	28.300000	23.010000	23.310000
226.000000	101.900000	48.780000	28.530000	22.390000	23.860000
227.000000	101.890000	48.710000	29.980000	23.170000	23.390000
228.000000	101.060000	49.340000	28.520000	21.680000	23.570000
229.000000	103.030000	49.620000	29.660000	22.670000	23.160000
230.000000	103.070000	49.090000	29.050000	22.840000	23.110000
231.000000	102.520000	50.300000	28.590000	21.800000	24.240000
232.000000	102.060000	50.640000	29.380000	23.330000	22.800000
233.000000	103.490000	50.710000	29.480000	21.970000	22.610000
234.000000	104.280000	50.970000	29.680000	23.540000	24.250000
235.000000	102.850000	49.900000	29.410000	22.290000	23.510000
236.000000	104.090000	51.000000	30.110000	21.950000	22.620000
237.000000	103.040000	50.300000	29.670000	23.540000	23.260000
238.000000	104.660000	51.590000	30.120000	22.720000	22.660000
239.000000	104.020000	52.430000	30.410000	22.060000	23.400000
240.000000	104.150000	52.010000	30.450000	21.780000	22.620000
241.000000	104.990000	51.470000	29.530000	22.310000	23.950000
242.000000	105.070000	51.610000	30.550000	22.800000	22.840000
243.000000	105.100000	51.250000	29.630000	21.650000	23.290000
244.000000	104.550000	53.140000	31.180000	22.720000	22.800000
245.000000	106.240000	51.960000	30.190000	22.610000	24.060000
246.000000	105.650000	51.850000	30.820000	23.460000	23.540000
247.000000	107.090000	52.490000	31.350000	22.760000	24.080000
248.000000	105.810000	52.730000	31.960000	22.720000	22.790000
249.000000	106.420000	53.590000	30.410000	23.040000	22.510000
